phase,pipeline,user,instance_id,groundtruth,final_prediction,final_score
phase1,vax1,P2,P2_021,Microwave,Microwave,0.9445335126600146
phase1,vax1,P2,P2_033,Baking,Undetected,0.0
phase1,vax1,P2,P2_037,CookingOnStove,Undetected,0.0
phase1,vax1,P2,P2_101,Coughing,Undetected,0.0
phase1,vax1,P2,P2_036,CookingOnStove,Undetected,0.0
phase1,vax1,P2,P2_032,Baking,Undetected,0.0
phase1,vax1,P2,P2_020,Microwave,Microwave,2.6693945587878023
phase1,vax1,P2,P2_007,Blender,Blender,0.9998896561575648
phase1,vax1,P2,P2_119,Drinking/Eating,Drinking/Eating,2.904401071666462
phase1,vax1,P2,P2_044,ToilerFlushing,Undetected,0.0
phase1,vax1,P2,P2_102,Coughing,Coughing,2.516180511843679
phase1,vax1,P2,P2_035,CookingOnStove,Undetected,0.0
phase1,vax1,P2,P2_120,Drinking/Eating,Drinking/Eating,0.9558570546888318
phase1,vax1,P2,P2_121,Drinking/Eating,Drinking/Eating,0.9679034843865244
phase1,vax1,P2,P2_034,Baking,Undetected,0.0
phase1,vax1,P2,P2_026,Microwave,Undetected,0.0
phase1,vax1,P2,P2_015,Blender,Blender,0.9991052806470708
phase1,vax1,P2,P2_031,FridgeOpen,Undetected,0.0
phase1,vax1,P2,P2_122,Drinking/Eating,Drinking/Eating,0.8645454479882481
phase1,vax1,P2,P2_110,Coughing,Coughing,0.9999284902041512
phase1,vax1,P2,P2_104,Coughing,Undetected,0.0
phase1,vax1,P2,P2_030,FridgeOpen,FridgeOpen,2.5471984730456176
phase1,vax1,P2,P2_000,Blender,Undetected,0.0
phase1,vax1,P2,P2_014,Blender,Blender,0.999207751884856
phase1,vax1,P2,P2_040,CookingOnStove,Undetected,0.0
phase1,vax1,P2,P2_055,HandWash,Undetected,0.0
phase1,vax1,P2,P2_074,HairDryer,HairDryer,0.9999690157584358
phase1,vax1,P2,P2_001,Chopping+Grating,Chopping+Grating,3.029616280496449
phase1,vax1,P2,P2_010,Chopping+Grating,Chopping+Grating,2.701906149419749
phase1,vax1,P2,P2_050,HairBrush,HairBrush,0.8129994228755345
phase1,vax1,P2,P2_049,HairDryer,Undetected,0.0
phase1,vax1,P2,P2_041,CookingOnStove,Undetected,0.0
phase1,vax1,P2,P2_027,WashingDishes,WashingDishes,0.9443678866780284
phase1,vax1,P2,P2_097,Exercising,Exercising,3.207621060405928
phase1,vax1,P2,P2_083,Exercising,Exercising,0.9624421252681706
phase1,vax1,P2,P2_089,Vacuum,Undetected,0.0
phase1,vax1,P2,P2_056,HandWash,Undetected,0.0
phase1,vax1,P2,P2_016,Chopping+Grating,Chopping+Grating,0.8564517159006133
phase1,vax1,P2,P2_108,Exercising,Exercising,0.9291321472711944
phase1,vax1,P2,P2_046,HairBrush,Undetected,0.0
phase1,vax1,P2,P2_017,Chopping+Grating,Chopping+Grating,0.987294635072073
phase1,vax1,P2,P2_077,Vacuum,Undetected,0.0
phase1,vax1,P2,P2_088,Vacuum,Undetected,0.0
phase1,vax1,P2,P2_047,Shaver In Use,Shaver In Use,2.50239235701858
phase1,vax1,P2,P2_082,Exercising,Exercising,0.9048334714031016
phase1,vax1,P2,P2_043,Shaver In Use,Shaver In Use,3.688274712520688
phase1,vax1,P2,P2_118,Drinking/Eating,Drinking/Eating,2.9976259943536827
phase1,vax1,P2,P2_002,Chopping+Grating,Chopping+Grating,0.9996319452637452
phase1,vax1,P2,P2_052,HandWash,Undetected,0.0
phase1,vax1,P2,P2_042,Shaver In Use,Shaver In Use,3.178543846813508
phase1,vax1,P2,P2_023,WashingDishes,Undetected,0.0
phase1,vax1,P2,P2_065,HairDryer,HairDryer,0.9999730712447248
phase1,vax1,P2,P2_064,HairDryer,HairDryer,0.9999606845057156
phase1,vax1,P2,P2_051,HandWash,Undetected,0.0
phase1,vax1,P2,P2_105,Vacuum,Undetected,0.0
phase1,vax1,P2,P2_111,Vacuum,Undetected,0.0
phase1,vax1,P2,P2_022,WashingDishes,WashingDishes,0.949692038694852
